n121	NONHSAT122561.2
n339774	NONHSAT057011.2
n339786	NONHSAT094684.2
n339798	NONHSAT058426.2
n339824	NA
n339828	NONHSAT058882.2
n339833	NONHSAT058969.2
n339847	NONHSAT059017.2
n339849	NONHSAT059059.2
n339856	NONHSAT095146.2
n339857	NONHSAT095156.2
n339861	NONHSAT095570.2
n339862	NONHSAT059132.2
n339865	NONHSAT059144.2
n339878	NONHSAT095717.2
n339886	NONHSAT095738.2
n339888	NA
n339893	NONHSAT095820.2
n339897	NONHSAT095934.2
n339901	NONHSAT059613.2
n339911	NONHSAT059750.2
n339920	NA
n339925	NONHSAT096080.2
n339930	NA
n339936	NONHSAT010902.2
n339948	NONHSAT096119.2
n339966	NA
n339970	NONHSAT011501.2
n339975	NONHSAT011546.2
n339976	NONHSAT011558.2
n339984	NONHSAT011609.2
n339986	NONHSAT011627.2
n339990	NA
n339993	NONHSAT011709.2
n340002	NONHSAT011908.2
n340006	NONHSAT012531.2
n340007	NONHSAT012538.2
n340008	NONHSAT012542.2
n340009	NONHSAT012566.2
n340011	NA
n340028	NONHSAT013309.2
n340032	NONHSAT013416.2
n340037	NONHSAT013498.2
n340048	NA
n340049	NONHSAT096369.2
n340053	NONHSAT096458.2
n340066	NONHSAT013937.2
n340068	NA
n340070	NONHSAT096618.2
n340075	NA
n340076	NONHSAT014068.2
n340094	NONHSAT015341.2
n340100	NONHSAT015494.2
n340108	NONHSAT015736.2
n340115	NA
n340127	NONHSAT016037.2
n340129	NONHSAT097037.2
n340144	NONHSAT016413.2
n340156	NONHSAT016573.2
n340157	NONHSAT016596.2
n340159	NONHSAT097267.2
n340164	NONHSAT016672.2
n340183	NONHSAT097462.2
n340189	NA
n340190	NONHSAT097569.2
n340191	NONHSAT097571.2
n340200	NONHSAT097804.2
n340203	NONHSAT097973.2
n340205	NONHSAT098085.2
n340208	NONHSAT098129.2
n340209	NONHSAT098132.2
n340210	NONHSAT098133.2
n340212	NONHSAT098163.2
n340232	NA
n340233	NONHSAT098480.2
n340234	NONHSAT098487.2
n340240	NONHSAT098514.2
n340248	NONHSAT098643.2
n340251	NONHSAT098666.2
n340258	NA
n340269	NONHSAT099141.2
n340270	NONHSAT099144.2
n340274	NONHSAT099216.2
n340277	NONHSAT099232.2
n340286	NONHSAT099431.2
n340290	NA
n340301	NONHSAT099919.2
n340309	NONHSAT100164.2
n340312	NONHSAT100211.2
n340317	NONHSAT100288.2
n340320	NONHSAT100283.2
n340398	NONHSAT100481.2
n340425	NONHSAT100917.2
n340444	NONHSAT101283.2
n340472	NONHSAT101622.2
n340474	NONHSAT145165.2
n340475	NONHSAT145225.2
n340495	NONHSAT102044.2
n340509	NONHSAT102257.2
n340517	NA
n340521	NONHSAT102289.2
n340522	NONHSAT102296.2
n340523	NA
n340529	NONHSAT145923.2
n340535	NONHSAT102457.2
n340537	NONHSAT146130.2
n340540	NONHSAT102608.2
n340549	NONHSAT102816.2
n340562	NONHSAT102909.2
n340565	NONHSAT102912.2
n340567	NA
n340576	NONHSAT052575.2
n340578	NONHSAT103127.2
n340586	NONHSAT103296.2
n340594	NONHSAT103374.2
n340599	NONHSAT103433.2
n340604	NONHSAT103491.2
n340626	NONHSAT053224.2
n340638	NONHSAT053349.2
n340639	NONHSAT103916.2
n340642	NONHSAT053369.2
n340648	NONHSAT053415.2
n340652	NA
n340684	NONHSAT053925.2
n340697	NA
n340715	NONHSAT054298.2
n340728	NONHSAT054454.2
n340734	NONHSAT105070.2
n340742	NONHSAT105151.2
n340748	NONHSAT054716.2
n340753	NONHSAT054798.2
n340754	NONHSAT054793.2
n340755	NA
n340756	NA
n340761	NONHSAT054895.2
n340770	NONHSAT054945.2
n340775	NA
n340779	NONHSAT054988.2
n340781	NONHSAT055027.2
n340783	NONHSAT055064.2
n340788	NONHSAT105925.2
n340793	NA
n340794	NA
n340814	NA
n340820	NA
n340835	NONHSAT055798.2
n340836	NONHSAT107609.2
n340848	NONHSAT107742.2
n340852	NONHSAT107804.2
n340858	NONHSAT107901.2
n340862	NONHSAT107929.2
n340870	NA
n340880	NONHSAT108120.2
n340887	NONHSAT108152.2
n340901	NONHSAT108382.2
n340903	NONHSAT108425.2
n340904	NONHSAT108438.2
n340905	NONHSAT108445.2
n340911	NONHSAT056309.2
n340921	NONHSAT056552.2
n340922	NONHSAT056679.2
n340924	NONHSAT056714.2
n340944	NA
n340950	NONHSAT017635.2
n340966	NONHSAT017862.2
n340970	NONHSAT018001.2
n340974	NONHSAT018085.2
n340980	NONHSAT018186.2
n340981	NA
n341011	NONHSAT018796.2
n341012	NONHSAT018823.2
n341017	NA
n341034	NONHSAT021478.2
n341044	NONHSAT021830.2
n341049	NONHSAT022115.2
n341050	NA
n341073	NA
n341076	NONHSAT023259.2
n341079	NONHSAT023309.2
n341081	NONHSAT023362.2
n341082	NA
n341084	NA
n341087	NONHSAT023404.2
n341092	NONHSAT023586.2
n341094	NA
n341096	NONHSAT023638.2
n341097	NONHSAT023660.2
n341125	NONHSAT024232.2
n341129	NONHSAT024276.2
n341142	NONHSAT024778.2
n341148	NONHSAT025024.2
n341158	NONHSAT025149.2
n341180	NONHSAT119053.2
n341205	NONHSAT119502.2
n341208	NONHSAT119641.2
n341211	NA
n341227	NONHSAT120209.2
n341230	NA
n341234	NONHSAT120258.2
n341236	NONHSAT120276.2
n341238	NONHSAT120307.2
n341245	NONHSAT120522.2
n341261	NONHSAT121668.2
n341264	NA
n341274	NA
n341290	NA
n341291	NA
n341296	NONHSAT122694.2
n341297	NA
n341298	NONHSAT122723.2
n341301	NONHSAT122778.2
n341302	NONHSAT122841.2
n341305	NONHSAT122914.2
n341308	NONHSAT123063.2
n341313	NA
n341319	NONHSAT123391.2
n341324	NONHSAT123438.2
n341328	NA
n341330	NONHSAT123513.2
n341334	NONHSAT123585.2
n341340	NA
n341345	NA
n341358	NONHSAT124106.2
n341365	NA
n341368	NONHSAT124273.2
n341369	NA
n341373	NONHSAT124436.2
n341376	NONHSAT124467.2
n341384	NONHSAT124589.2
n341398	NA
n341400	NONHSAT034904.2
n341406	NONHSAT124973.2
n341414	NONHSAT125018.2
n341417	NONHSAT125034.2
n341443	NA
n341446	NONHSAT035297.2
n341449	NA
n341452	NONHSAT125261.2
n341453	NONHSAT125265.2
n341459	NONHSAT125439.2
n341460	NONHSAT125498.2
n341465	NONHSAT125630.2
n341468	NONHSAT125750.2
n341479	NONHSAT125900.2
n341485	NONHSAT126065.2
n341486	NONHSAT126086.2
n341490	NONHSAT126295.2
n341492	NA
n341503	NONHSAT126615.2
n341517	NONHSAT126957.2
n341518	NONHSAT127001.2
n341525	NONHSAT127091.2
n341527	NONHSAT127141.2
n341528	NONHSAT127134.2
n341535	NONHSAT127313.2
n341542	NONHSAT127374.2
n341546	NONHSAT127431.2
n341550	NONHSAT127467.2
n341556	NONHSAT127621.2
n341566	NONHSAT127891.2
n341568	NONHSAT128024.2
n341569	NONHSAT128043.2
n341570	NONHSAT128045.2
n341574	NONHSAT128129.2
n341582	NONHSAT128251.2
n341587	NONHSAT128363.2
n341590	NONHSAT128403.2
n341592	NONHSAT128411.2
n341599	NA
n341607	NONHSAT129080.2
n341608	NONHSAT129039.2
n341633	NA
n341637	NA
n341643	NONHSAT129986.2
n341646	NONHSAT130006.2
n341659	NONHSAT130334.2
n341663	NONHSAT130434.2
n341680	NA
n341702	NONHSAT131932.2
n341704	NONHSAT131963.2
n341705	NONHSAT131979.2
n341721	NONHSAT133133.2
n341723	NONHSAT133196.2
n341725	NONHSAT133255.2
n341727	NA
n341735	NA
n341737	NONHSAT133696.2
n341739	NONHSAT133713.2
n341742	NONHSAT133730.2
n341743	NONHSAT133739.2
n341748	NONHSAT133833.2
n341752	NONHSAT133935.2
n341757	NA
n341760	NONHSAT134350.2
n341761	NONHSAT134322.2
n341770	NA
n341775	NA
n341783	NA
n341784	NA
n341786	NONHSAT134756.2
n341787	NONHSAT134758.2
n341809	NA
n341813	NONHSAT135743.2
n341819	NA
n341821	NONHSAT026383.2
n341824	NONHSAT026922.2
n341826	NONHSAT112236.2
n341835	NONHSAT112287.2
n341836	NONHSAT027070.2
n341846	NONHSAT112767.2
n341849	NONHSAT112844.2
n341862	NA
n341873	NONHSAT027463.2
n341878	NA
n341884	NONHSAT027609.2
n341903	NONHSAT113481.2
n341904	NONHSAT113496.2
n341937	NA
n341941	NONHSAT028994.2
n341949	NONHSAT029172.2
n341956	NA
n341975	NONHSAT029682.2
n341985	NONHSAT029964.2
n341991	NONHSAT030091.2
n341993	NA
n341997	NA
n342010	NA
n342029	NONHSAT030961.2
n342030	NONHSAT030969.2
n342041	NONHSAT113677.2
n342043	NONHSAT113679.2
n342044	NONHSAT113706.2
n342045	NA
n342046	NONHSAT031120.2
n342049	NONHSAT031176.2
n342053	NONHSAT031447.2
n342055	NONHSAT031584.2
n342056	NONHSAT031708.2
n342066	NONHSAT031972.2
n342077	NA
n342088	NA
n342101	NONHSAT114356.2
n342106	NONHSAT114486.2
n342108	NONHSAT114508.2
n342115	NONHSAT114709.2
n342116	NONHSAT114756.2
n342118	NONHSAT114788.2
n342120	NONHSAT114850.2
n342129	NA
n342135	NONHSAT115059.2
n342138	NONHSAT115126.2
n342140	NONHSAT115182.2
n342150	NONHSAT115417.2
n342157	NONHSAT115652.2
n342158	NONHSAT115664.2
n342162	NONHSAT115857.2
n342183	NA
n342192	NONHSAT094455.2
n342195	NONHSAT034457.2
n342202	NONHSAT000090.2
n342203	NONHSAT000091.2
n342204	NONHSAT000092.2
n342205	NONHSAT000159.2
n342206	NA
n342219	NONHSAT041930.2
n342226	NONHSAT001136.2
n342230	NA
n342231	NONHSAT137668.2
n342232	NA
n342233	NONHSAT001705.2
n342241	NONHSAT137988.2
n342243	NONHSAT138078.2
n342260	NONHSAT003218.2
n342265	NA
n342268	NONHSAT084382.2
n342280	NONHSAT047999.2
n342281	NONHSAT004532.2
n342283	NONHSAT004818.2
n342288	NA
n342291	NONHSAT087195.2
n342292	NA
n342295	NONHSAT005300.2
n342299	NONHSAT005570.2
n342313	NONHSAT036395.2
n342314	NONHSAT060370.2
n342315	NONHSAT006710.2
n342320	NA
n342328	NA
n342331	NONHSAT037723.2
n342332	NA
n342336	NONHSAT008410.2
n342344	NONHSAT063945.2
n342353	NONHSAT063901.2
n342355	NA
n342358	NONHSAT065785.2
n342359	NONHSAT009563.2
n342361	NA
n342366	NONHSAT066082.2
n342371	NA
n342379	NA
n342386	NONHSAT033274.2
n342409	NONHSAT067050.2
n342414	NA
n342420	NONHSAT071494.2
n342423	NONHSAT071769.2
n342429	NONHSAT072398.2
n342433	NONHSAT072522.2
n342434	NONHSAT072608.2
n342436	NONHSAT067512.2
n342437	NONHSAT072984.2
n342440	NONHSAT073814.2
n342441	NONHSAT074042.2
n342456	NONHSAT147818.2
n342457	NONHSAT147969.2
n342491	NA
n342500	NONHSAT089265.2
n342501	NONHSAT089479.2
n342503	NONHSAT089873.2
n342541	NONHSAT092037.2
n342543	NA
n342544	NA
n342555	NA
n342565	NONHSAT094270.2
n342566	NA
n342568	NONHSAT058492.2
n342569	NA
n342570	NONHSAT058560.2
n342574	NA
n342576	NA
n342583	NONHSAT011123.2
n342602	NONHSAT096719.2
n342606	NONHSAT015165.2
n342610	NONHSAT016036.2
n342612	NONHSAT016749.2
n342613	NA
n342618	NONHSAT098065.2
n342622	NONHSAT098625.2
n342631	NONHSAT099881.2
n342658	NONHSAT101771.2
n342660	NONHSAT145886.2
n342662	NONHSAT102415.2
n342664	NONHSAT102668.2
n342666	NONHSAT102823.2
n342669	NONHSAT146833.2
n342671	NONHSAT146396.2
n342677	NONHSAT052265.2
n342679	NONHSAT052368.2
n342687	NONHSAT052809.2
n342688	NONHSAT052801.2
n342689	NONHSAT052774.2
n342695	NA
n342704	NONHSAT053846.2
n342712	NONHSAT054265.2
n342717	NONHSAT054990.2
n342724	NONHSAT056046.2
n342725	NA
n342729	NA
n342730	NA
n342736	NONHSAT108582.2
n342756	NONHSAT018446.2
n342758	NA
n342770	NONHSAT022469.2
n342776	NA
n342780	NONHSAT023788.2
n342785	NONHSAT024353.2
n342795	NONHSAT118707.2
n342800	NA
n342812	NA
n342817	NONHSAT122291.2
n342818	NA
n342827	NONHSAT124267.2
n342842	NONHSAT126929.2
n342846	NONHSAT127292.2
n342851	NONHSAT130008.2
n342852	NONHSAT130346.2
n342856	NONHSAT130782.2
n342860	NONHSAT131088.2
n342861	NONHSAT131106.2
n342862	NONHSAT131616.2
n342871	NA
n342875	NONHSAT134020.2
n342883	NONHSAT026291.2
n342892	NONHSAT027487.2
n342895	NONHSAT113450.2
n342913	NONHSAT032173.2
n342914	NONHSAT113950.2
n342926	NONHSAT115713.2
n342927	NA
n342929	NONHSAT115892.2
n342938	NONHSAT040039.2
n342946	NA
n342950	NA
n342957	NA
n342961	NONHSAT016928.2
n342968	NA
n342977	NONMMUT028986.2
n342980	NA
n342983	NONMMUT066481.2
n342985	NONHSAT113149.2
n342988	NONHSAT130775.2
n342994	NA
n342996	NA
n342998	NONHSAT119717.2
n343005	NONHSAT119704.2
n343014	NA
n343016	NONHSAT001953.2
n343017	NONHSAT054526.2
n343018	NA
n343030	NONHSAT036719.2
n343036	NA
n343053	NA
n343059	NONMMUT036778.2
n343060	NA
n343062	NONHSAT039745.2
n343066	NONHSAT017465.2
n343067	NA
n343071	NA
n343076	NA
n343081	NONHSAT024403.2
n343084	NA
n343085	NA
n343086	NA
n343087	NONHSAT080206.2
n343363	NA
n343468	NONMMUT025837.2
n343537	NA
n343687	NONMMUT003180.2
n343796	NA
n344045	NONMMUT023705.2
n344146	NONMMUT056939.2
n344285	NA
n344325	NA
n344453	NONHSAT044059.2
n344454	NONHSAT140501.2
n344455	NONHSAT030943.2
n344457	NONHSAT049673.2
n344461	NONHSAT070239.2
n344472	NA
n344488	NONHSAT140676.2
n344490	NONHSAT056108.2
n344496	NONHSAT026404.2
n344508	NA
n344514	NONHSAT001463.2
n344528	NONHSAT120219.2
n344530	NA
n344531	NONHSAT027516.2
n344534	NA
n344547	NONHSAT137571.2
n344551	NONHSAT121236.2
n344559	NONHSAT055363.2
n344574	NONHSAT054162.2
n344578	NONHSAT138743.2
n344588	NONHSAT082414.2
n344589	NONHSAT000786.2
n344598	NONHSAT143568.2
n344601	NONHSAT057058.2
n344612	NONHSAT101244.2
n344627	NONHSAT081501.2
n344628	NONHSAT075170.2
n344638	NONHSAT112460.2
n344646	NONHSAT138537.2
n344649	NONHSAT102797.2
n344651	NONHSAT073620.2
n344652	NONHSAT115288.2
n344656	NONHSAT084534.2
n344658	NONHSAT120418.2
n344662	NA
n344664	NONHSAT063977.2
n344667	NONHSAT115209.2
n344675	NONHSAT124972.2
n344687	NA
n344691	NONHSAT033797.2
n344699	NONHSAT054253.2
n344701	NONHSAT070568.2
n344705	NONHSAT121098.2
n344711	NA
n344719	NONHSAT113194.2
n344720	NA
n344721	NONHSAT120000.2
n344724	NONHSAT031461.2
n344726	NONHSAT079364.2
n344741	NONHSAT122815.2
n344745	NONHSAT142612.2
n344748	NA
n344749	NONHSAT074964.2
n344758	NA
n344760	NONHSAT138620.2
n344768	NONHSAT138547.2
n344771	NONHSAT036563.2
n344775	NA
n344791	NONHSAT047863.2
n344798	NONHSAT084423.2
n344799	NONHSAT093648.2
n344803	NONHSAT063988.2
n344805	NONHSAT033438.2
n344807	NONHSAT096372.2
n344808	NONHSAT033822.2
n344814	NA
n344818	NONHSAT125946.2
n344848	NONHSAT103600.2
n344860	NA
n344861	NONHSAT104695.2
n344868	NONHSAT107501.2
n344871	NONHSAT112119.2
n344880	NONHSAT115734.2
n344894	NONHSAT108627.2
n344899	NA
n344907	NONHSAT113257.2
n344909	NONHSAT113545.2
n344916	NONHSAT113844.2
n344924	NONHSAT114816.2
n344930	NONHSAT115568.2
n344931	NONHSAT115641.2
n344939	NONHSAT121283.2
n344940	NONHSAT122011.2
n344941	NONHSAT118917.2
n344943	NONHSAT119135.2
n344949	NONHSAT119655.2
n344957	NONHSAT121221.2
n344958	NONHSAT121669.2
n344960	NONHSAT121718.2
n344972	NONHSAT123176.2
n344980	NONHSAT128169.2
n344988	NONHSAT124782.2
n344992	NONHSAT125260.2
n344995	NONHSAT125784.2
n345003	NONHSAT126987.2
n345006	NONHSAT127622.2
n345012	NONHSAT127805.2
n345014	NONHSAT127814.2
n345025	NONHSAT128584.2
n345026	NONHSAT128604.2
n345031	NONHSAT129412.2
n345032	NONHSAT129417.2
n345038	NONHSAT130005.2
n345040	NONHSAT130010.2
n345044	NONHSAT130249.2
n345045	NONHSAT130404.2
n345046	NONHSAT130469.2
n345059	NONHSAT134003.2
n345068	NONHSAT137328.2
n345070	NONHSAT137487.2
n345077	NONHSAT136354.2
n345088	NA
n345091	NONHSAT137675.2
n345105	NONHSAT010896.2
n345110	NONHSAT011934.2
n345117	NONHSAT013550.2
n345138	NONHSAT018076.2
n345139	NONHSAT018227.2
n345156	NONHSAT024790.2
n345168	NONHSAT026280.2
n345173	NONHSAT027580.2
n345175	NA
n345179	NONHSAT028295.2
n345186	NONHSAT029810.2
n345207	NONHSAT032279.2
n345221	NONHSAT033355.2
n345226	NONHSAT033780.2
n345229	NONHSAT034295.2
n345232	NONHSAT034695.2
n345248	NONHSAT035689.2
n345249	NONHSAT035905.2
n345251	NONHSAT036318.2
n345255	NONHSAT036725.2
n345260	NONHSAT037132.2
n345270	NONHSAT037556.2
n345271	NONHSAT037567.2
n345277	NONHSAT038064.2
n345281	NONHSAT039453.2
n345288	NONHSAT040285.2
n345289	NONHSAT042369.2
n345293	NONHSAT041802.2
n345298	NA
n345310	NONHSAT047079.2
n345323	NONHSAT143557.2
n345337	NONHSAT143945.2
n345338	NONHSAT143979.2
n345357	NONHSAT058937.2
n345382	NONHSAT078314.2
n345385	NONHSAT079374.2
n345386	NA
n345391	NONHSAT081303.2
n345408	NONHSAT084054.2
n345418	NONHSAT002396.2
n345433	NONHSAT002153.2
n345437	NONHSAT002344.2
n345449	NONHSAT004374.2
n345457	NONHSAT005482.2
n345465	NONHSAT006788.2
n345468	NONHSAT007119.2
n345473	NONHSAT007706.2
n345474	NONHSAT007719.2
n345483	NONHSAT009549.2
n345486	NONHSAT009877.2
n345501	NONHSAT071390.2
n345502	NONHSAT073970.2
n345506	NONHSAT075940.2
n345527	NONHSAT070916.2
n345544	NONHSAT074905.2
n345557	NONHSAT075924.2
n345558	NONHSAT075962.2
n345559	NONHSAT075998.2
n345568	NONHSAT076794.2
n345574	NONHSAT077414.2
n345589	NONHSAT089915.2
n345612	NONHSAT094090.2
n345613	NONHSAT095569.2
n345622	NONHSAT094676.2
n345630	NONHSAT095797.2
n345636	NONHSAT096686.2
n345637	NA
n345641	NONHSAT096929.2
n345647	NONHSAT097673.2
n345648	NONHSAT098084.2
n345653	NONHSAT098243.2
n345666	NONHSAT100401.2
n345668	NONHSAT101110.2
n345670	NONHSAT101354.2
n345674	NONHSAT072520.2
n345685	NA
n345686	NONHSAT001945.2
n345694	NA
n345696	NONHSAT056043.2
n345697	NONHSAT092342.2
n345701	NONHSAT033788.2
n345707	NONHSAT026823.2
n345721	NA
n345742	NA
n345746	NONHSAT034667.2
n345751	NONHSAT015967.2
n345754	NONHSAT028659.2
n345779	NA
n345781	NONHSAT052812.2
n345799	NONHSAT083762.2
n345800	NA
n345802	NONHSAT094425.2
n345807	NA
n345813	NONHSAT078882.2
n345831	NONHSAT009754.2
n345832	NA
n345839	NONHSAT078002.2
n345847	NONHSAT068245.2
n345850	NONHSAT081475.2
n345852	NA
n345861	NONHSAT032698.2
n345885	NA
n345887	NONHSAT100219.2
n345888	NONHSAT120458.2
n345903	NA
n345904	NA
n345909	NONHSAT032525.2
n345912	NA
n345915	NONHSAT138545.2
n345916	NA
n345925	NONHSAT035478.2
n345934	NA
n345935	NONHSAT081089.2
n345939	NA
n345941	NONHSAT119531.2
n345943	NONHSAT000009.2
n345954	NONHSAT079276.2
n345955	NA
n345957	NONHSAT115733.2
n345960	NONHSAT140723.2
n345966	NONHSAT041279.2
n345971	NA
n345975	NA
n345977	NONHSAT125161.2
n345981	NA
n345988	NONHSAT042196.2
n346007	NONHSAT073901.2
n346012	NA
n346031	NA
n346033	NONHSAT083698.2
n346040	NA
n346041	NONHSAT141017.2
n346051	NONHSAT009976.2
n346060	NA
n346066	NA
n346067	NONHSAT099434.2
n346075	NA
n346078	NONHSAT070592.2
n346082	NONHSAT068119.2
n346094	NA
n346101	NONHSAT138147.2
n346109	NONHSAT131159.2
n346110	NONHSAT123221.2
n346116	NA
n346126	NA
n346128	NA
n346137	NONHSAT108375.2
n346143	NONHSAT100053.2
n346167	NONHSAT113140.2
n346171	NA
n346177	NONHSAT037624.2
n346186	NA
n346188	NONHSAT118799.2
n346189	NONHSAT131958.2
n346196	NONHSAT035522.2
n346200	NA
n346205	NONHSAT041253.2
n346211	NA
n346227	NONHSAT120464.2
n346236	NONHSAT105477.2
n346238	NA
n346260	NONHSAT141025.2
n346272	NA
n346282	NA
n346288	NONHSAT100968.2
n346299	NONHSAT001933.2
n346311	NA
n346329	NA
n346332	NONHSAT033599.2
n346334	NA
n346337	NONHSAT132832.2
n346348	NONHSAT040790.2
n346354	NONHSAT144648.2
n346361	NONHSAT132849.2
n346370	NONHSAT063877.2
n346372	NA
n346373	NONHSAT148016.2
n346376	NA
n346383	NONHSAT094915.2
n346385	NA
n346396	NA
n346397	NA
n346398	NONHSAT135352.2
n346404	NONHSAT134532.2
n346416	NA
n346422	NONHSAT015425.2
n346426	NONHSAT052795.2
n346428	NA
n346430	NONHSAT122460.2
n346448	NA
n346460	NONHSAT099931.2
n346461	NONHSAT141072.2
n346464	NA
n346467	NA
n346472	NONHSAT041249.2
n346477	NONHSAT073165.2
n346481	NONHSAT081613.2
n346492	NA
n346494	NONHSAT078037.2
n346497	NA
n346510	NONHSAT121111.2
n346517	NONHSAT074150.2
n346520	NONHSAT073808.2
n346521	NA
n346523	NONHSAT034532.2
n346525	NONHSAT122547.2
n346528	NA
n346532	NA
n346533	NONHSAT095521.2
n346535	NONHSAT142136.2
n346537	NONHSAT033970.2
n346545	NONHSAT040814.2
n346551	NA
n346558	NA
n363297	NONHSAT004632.2
n363314	NONHSAT010460.2
n363315	NONHSAT000201.2
n363337	NONHSAT000208.2
n363347	NONHSAT004411.2
n363351	NONHSAT005107.2
n363356	NONHSAT008664.2
n363381	NONHSAT000771.2
n363468	NA
n363484	NONHSAT007159.2
n363491	NONHSAT007660.2
n363537	NONHSAT009689.2
n363566	NONHSAT000204.2
n363616	NONHSAT003055.2
n363631	NONHSAT003726.2
n363651	NONHSAT004527.2
n363658	NONHSAT004700.2
n363690	NONHSAT006319.2
n363765	NONHSAT010174.2
n363811	NONHSAT001301.2
n363878	NONHSAT004021.2
n363902	NONHSAT004595.2
n363904	NONHSAT004624.2
n363933	NONHSAT005319.2
n363945	NA
n363948	NONHSAT006136.2
n364039	NONHSAT010557.2
n364085	NONHSAT001699.2
n364088	NA
n364139	NONHSAT004185.2
n364158	NONHSAT004366.2
n364168	NONHSAT004417.2
n364180	NA
n364181	NONHSAT004785.2
n364206	NONHSAT005705.2
n364244	NONHSAT008555.2
n364269	NONHSAT009409.2
n364336	NONHSAT002540.2
n364340	NONHSAT002921.2
n364378	NONHSAT006133.2
n364410	NONHSAT010774.2
n364507	NONHSAT070923.2
n364511	NA
n364518	NONHSAT068731.2
n364533	NONHSAT071665.2
n364544	NONHSAT074047.2
n364545	NONHSAT074043.2
n364548	NONHSAT075169.2
n364558	NONHSAT069135.2
n364570	NONHSAT072940.2
n364596	NONHSAT068818.2
n364685	NONHSAT071649.2
n364686	NONHSAT071670.2
n364729	NONHSAT074041.2
n364734	NA
n364760	NA
n364842	NONHSAT068742.2
n364975	NONHSAT073831.2
n365285	NONHSAT075423.2
n365315	NONHSAT076448.2
n365323	NONHSAT076730.2
n365366	NONHSAT068744.2
n365413	NONHSAT069545.2
n365451	NONHSAT070922.2
n365469	NONHSAT071267.2
n365489	NONHSAT072203.2
n365492	NA
n365543	NA
n365550	NONHSAT074784.2
n365664	NONHSAT069972.2
n365737	NONHSAT075859.2
n365837	NONHSAT075283.2
n365866	NONHSAT090919.2
n365880	NONHSAT093167.2
n365884	NONHSAT089609.2
n365920	NONHSAT087674.2
n365972	NONHSAT091421.2
n366290	NONHSAT091419.2
n366331	NONHSAT092690.2
n366357	NONHSAT093296.2
n366395	NA
n366396	NONHSAT094227.2
n366554	NONHSAT094029.2
n366704	NONHSAT090755.2
n366714	NONHSAT091241.2
n366756	NONHSAT094669.2
n366788	NA
n366913	NONHSAT098765.2
n367049	NONHSAT098687.2
n367096	NONHSAT094568.2
n367124	NONHSAT095515.2
n367142	NONHSAT095885.2
n367143	NONHSAT095886.2
n367152	NONHSAT095954.2
n367182	NONHSAT096640.2
n367218	NONHSAT097990.2
n367363	NONHSAT097398.2
n367375	NONHSAT098032.2
n367422	NONHSAT099241.2
n367426	NONHSAT099251.2
n367519	NONHSAT098766.2
n367640	NONHSAT101254.2
n367646	NONHSAT100290.2
n367650	NONHSAT100802.2
n367651	NONHSAT100800.2
n367676	NONHSAT102752.2
n367774	NA
n367775	NA
n367848	NONHSAT100073.2
n367885	NONHSAT100950.2
n367887	NONHSAT101044.2
n367989	NONHSAT099958.2
n368098	NONHSAT102285.2
n368106	NA
n368394	NONHSAT099965.2
n368395	NONHSAT099968.2
n368396	NONHSAT099969.2
n368397	NONHSAT099967.2
n368398	NONHSAT099973.2
n368443	NA
n368447	NONHSAT101833.2
n368511	NA
n368608	NONHSAT112472.2
n368610	NONHSAT113139.2
n368624	NONHSAT116113.2
n368627	NONHSAT106625.2
n368637	NONHSAT108471.2
n368727	NONHSAT112475.2
n368759	NONHSAT114453.2
n368764	NONHSAT114823.2
n368786	NA
n369093	NONHSAT114452.2
n369186	NONHSAT107266.2
n369243	NONHSAT113465.2
n369376	NONHSAT112474.2
n369419	NONHSAT115380.2
n369453	NONHSAT112122.2
n369469	NONHSAT113506.2
n369487	NONHSAT116014.2
n369505	NA
n369512	NONHSAT119518.2
n369663	NONHSAT120204.2
n369699	NONHSAT122761.2
n369735	NONHSAT118801.2
n369769	NONHSAT120226.2
n369808	NONHSAT121455.2
n369876	NONHSAT124334.2
n369879	NONHSAT124335.2
n369881	NONHSAT124338.2
n369925	NONHSAT119372.2
n369955	NONHSAT120596.2
n369984	NONHSAT121795.2
n369995	NONHSAT122115.2
n369997	NONHSAT122118.2
n370008	NONHSAT123061.2
n370013	NA
n370058	NONHSAT120402.2
n370070	NONHSAT121121.2
n370090	NONHSAT123215.2
n370117	NA
n370126	NA
n370152	NONHSAT125546.2
n370153	NONHSAT126956.2
n370180	NONHSAT124770.2
n370205	NONHSAT129073.2
n370290	NONHSAT126489.2
n370423	NA
n370452	NONHSAT126028.2
n370540	NONHSAT128189.2
n370542	NONHSAT128193.2
n370571	NONHSAT129021.2
n370574	NONHSAT129026.2
n370585	NONHSAT129553.2
n370698	NONHSAT129020.2
n370709	NA
n370725	NONHSAT134602.2
n370849	NONHSAT132588.2
n370880	NONHSAT134894.2
n370923	NONHSAT130996.2
n370930	NONHSAT131189.2
n370995	NONHSAT133786.2
n371206	NONHSAT131125.2
n371225	NONHSAT133313.2
n371273	NONHSAT133537.2
n371301	NONHSAT136839.2
n371342	NONHSAT137283.2
n371453	NONHSAT137326.2
n371552	NONHSAT138016.2
n371587	NONHSAT139337.2
n371665	NA
n371670	NA
n371672	NONHSAT015961.2
n371673	NONHSAT016414.2
n371680	NA
n371684	NONHSAT011260.2
n371761	NONHSAT012822.2
n371778	NONHSAT015135.2
n371814	NONHSAT017009.2
n371891	NONHSAT013940.2
n371907	NONHSAT015639.2
